id	q1a	q1b	q1c	q1d	q1e	q1f	q2a	q2b	q2c	q2d	q2e	q2f	q2g	q2h	q3a	q3b	q3c	q3d	q3e	q3f	q3g	q3h	q3i	q3j	ika	sukup	pituus	kenka	kasi	koneon	kone	opalku	kurssit	osa1h	toita	optyo	tahti	tyovko
232	3	1	2	2	2	3	3	4	5	5	4	3	4	5	2	4	4	4	3	3	2	4	3	4	19	N	170	37	O	O	M	14	4	selv	E	NA	NA	NA
233	2	1	1	1	1	1	3	5	4	5	5	3	4	3	1	5	5	1	5	4	4	3	2	5	22	N	166	39	O	O	M	14	6	5	T	S	S	5
234	3	1	2	2	1	1	3	5	4	4	5	3	2	4	2	4	5	4	5	2	5	1	4	5	23	N	174	40	O	O	L	12	4	5+L	E	H	NA	NA
235	3	2	2	2	1	1	3	5	4	3	3	3	4	4	4	5	5	5	5	4	5	1	4	5	48	M	173	42	O	O	L	10	3	10	T	T	N	37
236	3	1	2	2	1	2	3	5	4	4	4	5	5	2	2	4	4	2	4	5	3	1	4	4	29	M	184	43	O	O	M	7	2	2-5	T	S	S	0-15
237	1	2	1	1	1	1	4	4	4	5	5	3	4	5	4	4	5	5	4	2	3	2	4	4	21	M	178	43	V	O	W	14	7	5	T	S	N	15
238	3	1	2	2	1	1	4	5	4	5	4	4	4	4	4	5	4	5	4	2	3	2	5	5	33	N	167	39	O	O	W	14	5	4.5	E	S	NA	NA
239	4	1	1	1	1	1	4	5	3	5	5	3	4	3	4	5	5	5	5	4	5	1	5	5	22	N	169	38	O	O	W	11	6	7	T	S	N	20
240	4	2	2	4	1	2	1	5	1	1	1	4	4	4	4	4	5	4	4	2	4	2	4	5	22	M	179	44	O	O	M	12	4	10	E	NA	NA	NA
241	3	1	2	1	1	1	2	5	3	3	4	3	4	3	1	4	5	5	4	3	3	2	4	5	25	N	173	41	O	O	M	9	5	8	E	S	NA	NA
242	4	2	3	3	1	2	2	5	4	5	5	2	4	3	1	4	4	3	4	3	3	4	2	4	22	M	177	42	O	O	W	14	5	4-8	T	S	S	0-16
243	5	1	1	2	2	1	2	4	1	4	3	3	3	3	4	4	4	5	4	2	4	1	5	4	25	M	177	43	O	O	M	10	5	6	E	S	S	3
244	3	4	4	4	5	5	3	4	5	5	5	1	3	5	3	5	5	5	5	4	4	2	5	5	20	N	167	37	O	O	W	13	3	10+	T	S	S	5
245	4	2	2	2	2	1	3	5	4	4	4	2	4	4	3	4	4	5	4	2	3	1	4	4	21	M	182	43	O	O	L	12	3	7	E	H	NA	NA
